model,Train Accuracy,Test Accuracy
KNN,0.6747371774450462,0.6246418338108882
SVM,0.696718700223001,0.6991404011461319
Decision Tree,0.7359031538706594,0.7249283667621776
RandomForest,0.7378145906339598,0.7077363896848138
Bagging,0.7445046193055113,0.6991404011461319
AdaBoost,0.6591271105447595,0.6561604584527221
Gradient Boost,0.7368588722523096,0.7077363896848138
